English Sentence,English NER Tagged,Chinese Sentence,Chinese NER Tagged,Merged English NER Tagged,Merged Chinese NER Tagged
"DR: Yeah. So the first thing we had to do was find a way to get this -- we had to work with the families of the victims, through the city, to make sure that they knew this was happening.",[],大?： 是的。 所以我?要做的第一件事情就是通气-- 我?必?和遇?者家?一起 通?市政府，?确保他?都知道???目。,"[{'entity': 'I-PER', 'score': 0.99999, 'index': 1, 'word': '▁大', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.9999813, 'index': 2, 'word': '?', 'start': 1, 'end': 2}]",[],"[{'word': '大?', 'tag': 'I-PER', 'score': 0.9999813}]"
Because this didn't want to be a surprise.,[],因?我?不想???目?大家?得突然。,[],[],[]
"And we also had to be as under the radar screen as we could be in New York, because the key was not raising a lot of objection and sort of working as quietly as possible.","[{'entity': 'I-LOC', 'score': 0.9999976, 'index': 17, 'word': '▁New', 'start': 66, 'end': 69}, {'entity': 'I-LOC', 'score': 0.999997, 'index': 18, 'word': '▁York', 'start': 70, 'end': 74}]",而且我??得在???可能的低?行事， 因???是不要引起很多的反??音， 某种程度上?可能悄悄地工作。,"[{'entity': 'I-LOC', 'score': 0.9999976, 'index': 7, 'word': '??', 'start': 7, 'end': 9}]","[{'word': 'New York', 'tag': 'I-LOC', 'score': 0.999997}]","[{'word': '??', 'tag': 'I-LOC', 'score': 0.9999976}]"
"We came up with the idea of setting up a foundation, mainly because when we found a contractor who would build this, he would not agree to do this, even if we would pay him the money.",[],我?想到建立基金， 主要是因??我?找到一?可能承建???目的承包商的?候， 他很可能不?同意做???目，即使我??支付?用?他。,[],[],[]
There needed to be a foundation in place.,[],所以我?需要一?基金。,[],[],[]
"So we came up with a foundation, and actually what happened was one major developer in New York -- KA: Who shall remain nameless, I guess?","[{'entity': 'I-LOC', 'score': 0.9999975, 'index': 18, 'word': '▁New', 'start': 87, 'end': 90}, {'entity': 'I-LOC', 'score': 0.999997, 'index': 19, 'word': '▁York', 'start': 91, 'end': 95}]",于是我?就建立了一?基金，??上主要是 ??一?大??商-- ??特： 我猜是?甘愿?姓埋名呢？,"[{'entity': 'I-LOC', 'score': 0.9998714, 'index': 10, 'word': '▁', 'start': 20, 'end': 21}, {'entity': 'I-LOC', 'score': 0.99999535, 'index': 11, 'word': '??', 'start': 20, 'end': 22}, {'entity': 'I-PER', 'score': 0.99978215, 'index': 17, 'word': '▁', 'start': 31, 'end': 32}, {'entity': 'I-PER', 'score': 0.9999324, 'index': 18, 'word': '?', 'start': 31, 'end': 32}, {'entity': 'I-PER', 'score': 0.99982125, 'index': 19, 'word': '?', 'start': 32, 'end': 33}, {'entity': 'I-PER', 'score': 0.99992657, 'index': 20, 'word': '特', 'start': 33, 'end': 34}]","[{'word': 'New York', 'tag': 'I-LOC', 'score': 0.999997}]","[{'word': '??', 'tag': 'I-LOC', 'score': 0.99999535}, {'word': '??特', 'tag': 'I-PER', 'score': 0.99982125}]"
"DR: Yeah. His initials are JS, and he owns Rockefeller Center, if that helps anyone -- volunteered to help.","[{'entity': 'I-ORG', 'score': 0.9879991, 'index': 1, 'word': '▁DR', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.89236534, 'index': 9, 'word': '▁', 'start': 27, 'end': 28}, {'entity': 'I-PER', 'score': 0.944151, 'index': 10, 'word': 'JS', 'start': 27, 'end': 29}, {'entity': 'I-LOC', 'score': 0.99734604, 'index': 16, 'word': '▁Rock', 'start': 43, 'end': 47}, {'entity': 'I-LOC', 'score': 0.998514, 'index': 17, 'word': 'ef', 'start': 47, 'end': 49}, {'entity': 'I-LOC', 'score': 0.99832743, 'index': 18, 'word': 'eller', 'start': 49, 'end': 54}, {'entity': 'I-LOC', 'score': 0.9979684, 'index': 19, 'word': '▁Center', 'start': 55, 'end': 61}]",大?： 他的名字首字母是JS，而且他?有洛克菲勒中心， 希望??可以?大家猜猜--他志愿?助我?。,"[{'entity': 'I-PER', 'score': 0.99998105, 'index': 1, 'word': '▁大', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.99996674, 'index': 2, 'word': '?', 'start': 1, 'end': 2}, {'entity': 'I-PER', 'score': 0.95950985, 'index': 9, 'word': 'JS', 'start': 12, 'end': 14}, {'entity': 'I-LOC', 'score': 0.9974482, 'index': 14, 'word': '洛', 'start': 20, 'end': 21}, {'entity': 'I-LOC', 'score': 0.9943218, 'index': 15, 'word': '克', 'start': 21, 'end': 22}, {'entity': 'I-LOC', 'score': 0.9983083, 'index': 16, 'word': '菲', 'start': 22, 'end': 23}, {'entity': 'I-LOC', 'score': 0.99781007, 'index': 17, 'word': '勒', 'start': 23, 'end': 24}, {'entity': 'I-LOC', 'score': 0.99790883, 'index': 18, 'word': '中心', 'start': 24, 'end': 26}]","[{'word': 'DR', 'tag': 'I-ORG', 'score': 0.9879991}, {'word': 'JS', 'tag': 'I-PER', 'score': 0.89236534}, {'word': 'Rockefeller Center', 'tag': 'I-LOC', 'score': 0.99734604}]","[{'word': '大?', 'tag': 'I-PER', 'score': 0.99996674}, {'word': 'JS', 'tag': 'I-PER', 'score': 0.95950985}, {'word': '洛克菲勒中心', 'tag': 'I-LOC', 'score': 0.9943218}]"
And we met with him.,[],后?我?和他?面。,[],[],[]
"The prices from the contractors were between five to 700,000 dollars.",[],承包商?的?价?5美元到70万美元都有。,[],[],[]
"And Atlantic-Heydt, who's the largest scaffolding contractor in the country, volunteered to do it at cost.","[{'entity': 'I-ORG', 'score': 0.99998164, 'index': 2, 'word': '▁Atlantic', 'start': 4, 'end': 12}, {'entity': 'I-ORG', 'score': 0.9999858, 'index': 3, 'word': '-', 'start': 12, 'end': 13}, {'entity': 'I-ORG', 'score': 0.9999541, 'index': 4, 'word': 'Hey', 'start': 13, 'end': 16}, {'entity': 'I-ORG', 'score': 0.9999821, 'index': 5, 'word': 'dt', 'start': 16, 'end': 18}]",而美?最大的?手架承包商?特南迪克海特， 志愿以成本价承建???目。,"[{'entity': 'I-LOC', 'score': 0.9999956, 'index': 2, 'word': '美?', 'start': 1, 'end': 3}, {'entity': 'I-ORG', 'score': 0.999977, 'index': 9, 'word': '?', 'start': 12, 'end': 13}, {'entity': 'I-ORG', 'score': 0.99998176, 'index': 10, 'word': '特', 'start': 13, 'end': 14}, {'entity': 'I-ORG', 'score': 0.99997663, 'index': 11, 'word': '南', 'start': 14, 'end': 15}, {'entity': 'I-ORG', 'score': 0.9999857, 'index': 12, 'word': '迪', 'start': 15, 'end': 16}, {'entity': 'I-ORG', 'score': 0.9999864, 'index': 13, 'word': '克', 'start': 16, 'end': 17}, {'entity': 'I-ORG', 'score': 0.9999852, 'index': 14, 'word': '海', 'start': 17, 'end': 18}, {'entity': 'I-ORG', 'score': 0.99998, 'index': 15, 'word': '特', 'start': 18, 'end': 19}]","[{'word': 'Atlantic-Heydt', 'tag': 'I-ORG', 'score': 0.9999541}]","[{'word': '美?', 'tag': 'I-LOC', 'score': 0.9999956}, {'word': '?特南迪克海特', 'tag': 'I-ORG', 'score': 0.99997663}]"
"So this developer said, ""You know what, we'll underwrite the entire expense.""",[],所以那?大??商?：“你知道?，我??支付整??用。”,[],[],[]
"And we said, ""That's incredible!""",[],而我??：“真是好极了！”,[],[],[]
"And I think this was the 21st, and we knew this had to be built and up by the 28th.",[],我想那天是21?， 而我?知道???景台必?在28?之前完工。,[],[],[]
And we had to start construction the next day.,[],我?必?在第二天就?始建造。,[],[],[]
"We had a meeting that evening with his contractor of choice, and the contractor showed up with the drawings of the platform about half the size that we had drawn it.",[],那天晚上我?跟那?承包商?了??， 那?承包商展示了?景台的草?， 可是它只有我???的一半大小。,[],[],[]
"KA: Sort of like the Spinal Tap scene where you get the tiny little Stonehenge, I guess?","[{'entity': 'I-MISC', 'score': 0.9976331, 'index': 7, 'word': '▁Spin', 'start': 21, 'end': 25}, {'entity': 'I-MISC', 'score': 0.9962017, 'index': 8, 'word': 'al', 'start': 25, 'end': 27}, {'entity': 'I-MISC', 'score': 0.9974246, 'index': 9, 'word': '▁Tap', 'start': 28, 'end': 31}, {'entity': 'I-LOC', 'score': 0.9999912, 'index': 18, 'word': '▁Stone', 'start': 68, 'end': 73}, {'entity': 'I-LOC', 'score': 0.9999789, 'index': 19, 'word': 'heng', 'start': 73, 'end': 77}, {'entity': 'I-LOC', 'score': 0.999982, 'index': 20, 'word': 'e', 'start': 77, 'end': 78}]",??特：我猜有?像脊椎塔里的?景， ?那里可以看到微小的巨石?？,"[{'entity': 'I-PER', 'score': 0.98334193, 'index': 1, 'word': '▁', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.99997306, 'index': 2, 'word': '?', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.99993193, 'index': 3, 'word': '?', 'start': 1, 'end': 2}, {'entity': 'I-PER', 'score': 0.99997556, 'index': 4, 'word': '特', 'start': 2, 'end': 3}]","[{'word': 'Spinal Tap', 'tag': 'I-MISC', 'score': 0.9962017}, {'word': 'Stonehenge', 'tag': 'I-LOC', 'score': 0.9999789}]","[{'word': '??特', 'tag': 'I-PER', 'score': 0.99993193}]"
"DR: In fact, it was as if this was going to be window-washing scaffolding.","[{'entity': 'I-ORG', 'score': 0.9979551, 'index': 1, 'word': '▁DR', 'start': 0, 'end': 2}]",大?： ??上，它就像一??擦窗?准?的?手架。,"[{'entity': 'I-PER', 'score': 0.99995995, 'index': 1, 'word': '▁大', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.9999262, 'index': 2, 'word': '?', 'start': 1, 'end': 2}]","[{'word': 'DR', 'tag': 'I-ORG', 'score': 0.9979551}]","[{'word': '大?', 'tag': 'I-PER', 'score': 0.9999262}]"
"There was no sense of the fact that this is next to Saint Paul -- that this is really a place that needs to be kind of dignified, and a place to reflect and remember.","[{'entity': 'I-LOC', 'score': 0.99996734, 'index': 13, 'word': '▁Saint', 'start': 52, 'end': 57}, {'entity': 'I-LOC', 'score': 0.9999467, 'index': 14, 'word': '▁Paul', 'start': 58, 'end': 62}]",一?都不符合??的?景--?挨?圣保?教堂-- 那是一?需要庄?的地方， 一?需要尊重和?念的地方。,"[{'entity': 'I-LOC', 'score': 0.9991429, 'index': 13, 'word': '圣', 'start': 16, 'end': 17}, {'entity': 'I-LOC', 'score': 0.9996605, 'index': 14, 'word': '保?', 'start': 17, 'end': 19}, {'entity': 'I-LOC', 'score': 0.8486488, 'index': 15, 'word': '教堂', 'start': 19, 'end': 21}]","[{'word': 'Saint Paul', 'tag': 'I-LOC', 'score': 0.9999467}]","[{'word': '圣保?教堂', 'tag': 'I-LOC', 'score': 0.8486488}]"
"And I've got to say that we spent a lot of time in putting this together, watching the crowds that gathered at Saint Paul -- which is just to the right -- and moving around the site.","[{'entity': 'I-LOC', 'score': 0.9999354, 'index': 29, 'word': '▁Saint', 'start': 111, 'end': 116}, {'entity': 'I-LOC', 'score': 0.99990535, 'index': 30, 'word': '▁Paul', 'start': 117, 'end': 121}]",我不得不?我?花了那么多?? 把??搭建起?，看?那些聚集在圣保?大教堂的??的人群-- 正好在右?--在?墟周?移?,"[{'entity': 'I-LOC', 'score': 0.99999297, 'index': 18, 'word': '圣', 'start': 30, 'end': 31}, {'entity': 'I-LOC', 'score': 0.999992, 'index': 19, 'word': '保?', 'start': 31, 'end': 33}, {'entity': 'I-LOC', 'score': 0.999969, 'index': 20, 'word': '大', 'start': 33, 'end': 34}, {'entity': 'I-LOC', 'score': 0.99999404, 'index': 21, 'word': '教堂', 'start': 34, 'end': 36}]","[{'word': 'Saint Paul', 'tag': 'I-LOC', 'score': 0.99990535}]","[{'word': '圣保?大教堂', 'tag': 'I-LOC', 'score': 0.999969}]"
"And I live down there, so we spent a lot of time looking at the need.",[],我住在那里，所以我?花了很?的??去了解人?的需要。,[],[],[]
"And I think people were amazed at two things -- I think they were amazed at the destruction, but I think there was a sense of disbelief about the heroics of New Yorkers that I found very moving.","[{'entity': 'I-MISC', 'score': 0.9999658, 'index': 38, 'word': '▁New', 'start': 157, 'end': 160}, {'entity': 'I-MISC', 'score': 0.9999461, 'index': 39, 'word': '▁York', 'start': 161, 'end': 165}]",我想人??因???事情而感到震惊-- 他??因破坏而感到震惊， 但是我想人?也?因怀疑 ??人感人的英雄主?而感到震惊。,"[{'entity': 'I-MISC', 'score': 0.99928975, 'index': 29, 'word': '??', 'start': 44, 'end': 46}]","[{'word': 'New York', 'tag': 'I-MISC', 'score': 0.9999461}]","[{'word': '??', 'tag': 'I-MISC', 'score': 0.99928975}]"
Just the sort of everyday heroics of New Yorkers.,"[{'entity': 'I-MISC', 'score': 0.9999739, 'index': 9, 'word': '▁New', 'start': 37, 'end': 40}, {'entity': 'I-MISC', 'score': 0.99994063, 'index': 10, 'word': '▁York', 'start': 41, 'end': 45}]",就是某种??人的日常的英雄主?。,"[{'entity': 'I-MISC', 'score': 0.9997509, 'index': 4, 'word': '??', 'start': 4, 'end': 6}]","[{'word': 'New York', 'tag': 'I-MISC', 'score': 0.99994063}]","[{'word': '??', 'tag': 'I-MISC', 'score': 0.9997509}]"
"So we were in this meeting and the contractor literally said, ""I'm going to lock the door, because this developer will not agree to have you leave till you've signed off on this.""",[],所以在那???上，那?承包商?字?句的?， “我要把??起?，因???商 不?同意在你?????合?之前放你?走的。”,[],[],[]
"And we said, ""Well, this is half the size, it doesn't have any of the design features that have been agreed upon by everyone -- everyone in the city.",[],而我??：“但是?只有一半大小， 也?有我?之前同意的任何??特色 包括城市里的每一?人。,[],[],[]
We'd have to go back to the beginning to do this.",[],我?必????始做???目。”,[],[],[]
And I convinced him that we should leave the room with the agreement to build it as designed.,[],最后我?服了他，在我?离???室之前 我??成一致，按照原先的??重新建造。,[],[],[]
The next day I got an email from the developer saying that he was withdrawing all funding.,[],第二天我收到??商的?件， 他?要撤掉所有的?金。,[],[],[]
"So we didn't know what to do, but we decided to cast a very wide net.",[],我?不知道怎么?， 但是我??定要撒一?大网。,[],[],[]
We emailed out letters to as many people as we could -- several people in the audience here -- who were very helpful.,[],我???可能多的人?了?件-- 包括很多在?的听?--他?都提供了很好的?助。,[],[],[]
KA: There was no thought of abandoning ship at that point?,"[{'entity': 'I-ORG', 'score': 0.91897726, 'index': 1, 'word': '▁KA', 'start': 0, 'end': 2}]",??特： 那??候就?有想?要放??？,"[{'entity': 'I-PER', 'score': 0.9991617, 'index': 1, 'word': '▁', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.99993503, 'index': 2, 'word': '?', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.9999224, 'index': 3, 'word': '?', 'start': 1, 'end': 2}, {'entity': 'I-PER', 'score': 0.99996173, 'index': 4, 'word': '特', 'start': 2, 'end': 3}]","[{'word': 'KA', 'tag': 'I-ORG', 'score': 0.91897726}]","[{'word': '??特', 'tag': 'I-PER', 'score': 0.9999224}]"
DR: No. In fact I told the contractor to go ahead.,"[{'entity': 'I-ORG', 'score': 0.5213372, 'index': 1, 'word': '▁DR', 'start': 0, 'end': 2}]",大?： ?有。事?上，我告?那?承包商??施工。,"[{'entity': 'I-PER', 'score': 0.9999908, 'index': 1, 'word': '▁大', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.99998534, 'index': 2, 'word': '?', 'start': 1, 'end': 2}]","[{'word': 'DR', 'tag': 'I-ORG', 'score': 0.5213372}]","[{'word': '大?', 'tag': 'I-PER', 'score': 0.99998534}]"
He had already ordered materials based on my go-ahead.,[],他也已?按照我的要求??了材料。,[],[],[]
We knew that one way or another this was going to happen.,[],我?知道不管怎么?，???目??完成。,[],[],[]
And we just felt it had to happen.,[],我?只是?得它必?完成。,[],[],[]
KA: You were funding it yourself and with contributions and this foundation.,"[{'entity': 'I-ORG', 'score': 0.98727846, 'index': 1, 'word': '▁KA', 'start': 0, 'end': 2}]",??特： 后?你就自己出?，?同一些捐助和??基金完成???目。,"[{'entity': 'I-PER', 'score': 0.99914, 'index': 1, 'word': '▁', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.9999273, 'index': 2, 'word': '?', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.99986804, 'index': 3, 'word': '?', 'start': 1, 'end': 2}, {'entity': 'I-PER', 'score': 0.9999448, 'index': 4, 'word': '特', 'start': 2, 'end': 3}]","[{'word': 'KA', 'tag': 'I-ORG', 'score': 0.98727846}]","[{'word': '??特', 'tag': 'I-PER', 'score': 0.99986804}]"
"Richard, I think very correctly, made the point at the beginning -- before all the chair designers came out -- about the history of chair designers imposing aesthetic solutions on this kind of universal, banal, common problem of sitting.","[{'entity': 'I-PER', 'score': 0.9999728, 'index': 1, 'word': '▁Richard', 'start': 0, 'end': 7}]",我?得理查德 在??始就提到-- 就是在所有的?目首席???意?到之前-- 他?一直以?首席??? ??种很平常的????都追求一种?美方案。,"[{'entity': 'I-PER', 'score': 0.9998996, 'index': 3, 'word': '理', 'start': 3, 'end': 4}, {'entity': 'I-PER', 'score': 0.9999802, 'index': 4, 'word': '查', 'start': 4, 'end': 5}, {'entity': 'I-PER', 'score': 0.99995613, 'index': 5, 'word': '德', 'start': 5, 'end': 6}, {'entity': 'I-PER', 'score': 0.99022865, 'index': 40, 'word': '。', 'start': 70, 'end': 71}]","[{'word': 'Richard', 'tag': 'I-PER', 'score': 0.9999728}]","[{'word': '理查德', 'tag': 'I-PER', 'score': 0.9998996}, {'word': '。', 'tag': 'I-PER', 'score': 0.99022865}]"
"It seems to me with this, that it was the opposite of that.",[],但是?我??， ???目?恰恰相反。,[],[],[]
"This was an unprecedented, singular design problem.",[],因??是?前所未有的，?一?二的????。,[],[],[]
"DR: Well here's the issue: we knew that this was not in the sense of -- we think about the site, and think about the need for a memorial.","[{'entity': 'I-ORG', 'score': 0.41394448, 'index': 1, 'word': '▁DR', 'start': 0, 'end': 2}]",大?： 确?，?就是??所在。 我?知道???目确??有?美的特色-- 我?考?了???址，考?到人?可能需要一种?念碑一?的?西。,"[{'entity': 'I-PER', 'score': 0.9999888, 'index': 1, 'word': '▁大', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.9999783, 'index': 2, 'word': '?', 'start': 1, 'end': 2}]","[{'word': 'DR', 'tag': 'I-ORG', 'score': 0.41394448}]","[{'word': '大?', 'tag': 'I-PER', 'score': 0.9999783}]"
It was important that this not be categorized as a memorial.,[],但是有一?很重要，???目不是一种?念物。,[],[],[]
"That this was a place for people to reflect, to remember -- a kind of quiet place.",[],而是供人???吊和?念的?所-- 很?穆的?所。,[],[],[]
So it led us to using design solutions that created as few filters between the viewer -- as we said about the families' platform -- and the experience as possible.,[],?就使得我??用了?种??方案， ?可能少的在??和真?的体?之??生??-- 就像我?之前?的家?看台一?。,[],[],[]
It's all incredibly humble material.,[],??看台全都是用?以置信的普通的材料，,[],[],[]
It's scaffolding and plywood.,[],就是?手架和?板。,[],[],[]
"And it allows -- by sort of the procession of the movement, up by Saint Paul's and down the other side -- it gives you about 300 feet to go up 13 feet from the ground to where you get the 360 degree view.","[{'entity': 'I-LOC', 'score': 0.9999697, 'index': 17, 'word': '▁Saint', 'start': 66, 'end': 71}, {'entity': 'I-LOC', 'score': 0.99993956, 'index': 18, 'word': '▁Paul', 'start': 72, 'end': 76}, {'entity': 'I-LOC', 'score': 0.99994075, 'index': 19, 'word': ""'"", 'start': 76, 'end': 77}, {'entity': 'I-LOC', 'score': 0.9999728, 'index': 20, 'word': 's', 'start': 77, 'end': 78}]",它可以使得??移?起?， 可以上到圣保?教堂那?然后?另一?下去。 它提供了300英尺?的通道，并可以把你?到离地13英尺的高度， ?那里可以看到360度的?角。,"[{'entity': 'I-LOC', 'score': 0.99973124, 'index': 13, 'word': '圣', 'start': 17, 'end': 18}, {'entity': 'I-LOC', 'score': 0.9997713, 'index': 14, 'word': '保?', 'start': 18, 'end': 20}]","[{'word': ""Saint Paul's"", 'tag': 'I-LOC', 'score': 0.99993956}]","[{'word': '圣保?', 'tag': 'I-LOC', 'score': 0.99973124}]"
"But the design was driven by a need to be quick, cheap, safe, respectful, flexible.",[],但是????一直考?到快速，廉价，安全，庄?和?活性方面的需求。,[],[],[]
One of the other things is this is designed to be moveable.,[],?其中的一?要求就是可以移?。,[],[],[]
"Because when we looked at the four platforms around the site, one of which is an upgrade of the families' platform, we knew that these had to be moveable to respond to changing conditions, and the changing definition of what Ground Zero is.","[{'entity': 'I-LOC', 'score': 0.9999795, 'index': 47, 'word': '▁Ground', 'start': 225, 'end': 231}, {'entity': 'I-LOC', 'score': 0.9999739, 'index': 48, 'word': '▁Zero', 'start': 232, 'end': 236}]",因??我?看到?墟周?的四?平台， 其中一?是?家?看台更新而?的， 所以我?考?到?些必?可以移?， ???不停改?的?境， 和?于世??墟中心是什么的?种定?的改?。,"[{'entity': 'I-MISC', 'score': 0.9691097, 'index': 41, 'word': '世', 'start': 67, 'end': 68}, {'entity': 'I-MISC', 'score': 0.97933656, 'index': 42, 'word': '?', 'start': 68, 'end': 69}]","[{'word': 'Ground Zero', 'tag': 'I-LOC', 'score': 0.9999739}]","[{'word': '世?', 'tag': 'I-MISC', 'score': 0.9691097}]"
"KA: Your work -- I mean, we've talked about this before -- a lot of your work, I think, is informed by your belief in, or your focus on the temporariness of all things and the evanescence of things, and a kind of ""Eat, drink, and be merry, for tomorrow we die,"" sort of sense of existence.",[],??特： 你的作品--我?之前已????????-- 我想很多你的作品都是基于你的一种信念，或者?你?注于 表?所有事物的??性和短?性。 像“吃，喝，享?，因?我?明天可能就?死”， ?种及?行?的?念。,"[{'entity': 'I-PER', 'score': 0.968734, 'index': 1, 'word': '▁', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.9995177, 'index': 2, 'word': '?', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.999171, 'index': 3, 'word': '?', 'start': 1, 'end': 2}, {'entity': 'I-PER', 'score': 0.9993529, 'index': 4, 'word': '特', 'start': 2, 'end': 3}, {'entity': 'I-PER', 'score': 0.9696788, 'index': 67, 'word': '。', 'start': 102, 'end': 103}]",[],"[{'word': '??特', 'tag': 'I-PER', 'score': 0.999171}, {'word': '。', 'tag': 'I-PER', 'score': 0.9696788}]"
This is clearly not a work for the ages.,[],而?明?不是一???久存在的作品。,[],[],[]
"You know, a couple of years this thing isn't going to be here.",[],你知道，很多年之后，???西?不?存在了。,[],[],[]
"Did that require, as an architect, a new way of thinking about what you were doing?",[],作?一?建筑?， ??要求你重新思考你那?正在做的?西?？,[],[],[]
To think of it as this purely temporary installation?,[],去把它作?一??粹的??性的建筑?考?？,[],[],[]
"DR: No, I don't think so.","[{'entity': 'I-ORG', 'score': 0.5751317, 'index': 1, 'word': '▁DR', 'start': 0, 'end': 2}]",大?： 我不????。,"[{'entity': 'I-PER', 'score': 0.99998915, 'index': 1, 'word': '▁大', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.99998546, 'index': 2, 'word': '?', 'start': 1, 'end': 2}]","[{'word': 'DR', 'tag': 'I-ORG', 'score': 0.5751317}]","[{'word': '大?', 'tag': 'I-PER', 'score': 0.99998546}]"
"I think this is, obviously, substantially different from anything we'd ever thought about doing before, just by the nature of it.",[],在我看?，??是有??性的不同 相?于我?之前做的任何?目比起?,[],[],[]
"Where it overlaps with thoughts about our work in general is, number one -- the notion of collaboration as a sort of way to get things done.",[],一般??，除了?于我?工作的一些想法之外， ?有一?重要的概念--就是以某种方式?合起?一起把事情完成的概念。,[],[],[]
